Diameter Average-Path-Length nodes initial links
1 1 1 2 1
1 1 2 2 1
2 1.3333333333333333 3 2 1
3 1.6666666666666667 4 2 1
2 1.6 5 2 1
4 2.1333333333333333 6 2 1
4 2.2857142857142856 7 2 1
5 2.5357142857142856 8 2 1
4 2.111111111111111 9 2 1
5 2.577777777777778 10 2 1
4 2.5454545454545454 11 2 1
7 3.106060606060606 12 2 1
6 2.7948717948717947 13 2 1
6 3 14 2 1
6 3.066666666666667 15 2 1
5 2.425 16 2 1
8 3.588235294117647 17 2 1
6 3.0718954248366015 18 2 1
7 3.4853801169590644 19 2 1
5 2.763157894736842 20 2 1
7 3.4285714285714284 21 2 1
7 3.761904761904762 22 2 1
6 3.2964426877470356 23 2 1
9 4.050724637681159 24 2 1
6 3 25 2 1
7 3.4 26 2 1
7 3.156695156695157 27 2 1
6 3.1693121693121693 28 2 1
10 4.275862068965517 29 2 1
9 3.8505747126436782 30 2 1
6 2.8774193548387097 31 2 1
8 3.7641129032258065 32 2 1
6 2.8143939393939394 33 2 1
9 3.8698752228163995 34 2 1
7 3.411764705882353 35 2 1
8 3.5873015873015874 36 2 1
7 3.798798798798799 37 2 1
8 3.941678520625889 38 2 1
9 4.3076923076923075 39 2 1
7 3.26025641025641 40 2 1
9 4.417073170731707 41 2 1
8 3.800232288037166 42 2 1
10 4.03765227021041 43 2 1
9 3.7431289640591965 44 2 1
8 3.597979797979798 45 2 1
8 3.7304347826086954 46 2 1
8 4.177613320999075 47 2 1
9 4.3129432624113475 48 2 1
10 3.8758503401360542 49 2 1
10 4.173061224489796 50 2 1
7 3.44 51 2 1
8 3.419306184012066 52 2 1
9 4.322206095791001 53 2 1
9 4.473794549266247 54 2 1
6 3.0855218855218856 55 2 1
8 4.02012987012987 56 2 1
7 3.773182957393484 57 2 1
9 4.090139140955838 58 2 1
8 4.213909994155465 59 2 1
10 4.36045197740113 60 2 1
9 4.479781420765027 61 2 1
11 4.720782654680064 62 2 1
11 5.211469534050179 63 2 1
8 4.138888888888889 64 2 1
10 4.0875 65 2 1
8 4.094172494172494 66 2 1
10 4.9389416553595655 67 2 1
8 4.2388059701492535 68 2 1
12 5.374254049445866 69 2 1
10 4.54120082815735 70 2 1
10 4.421730382293762 71 2 1
9 4.846635367762128 72 2 1
9 4.71765601217656 73 2 1
9 4.052573121066271 74 2 1
8 4.30054054054054 75 2 1
10 4.726315789473684 76 2 1
9 3.868762816131237 77 2 1
9 4.453879453879454 78 2 1
9 3.9396299902629015 79 2 1
8 4.151582278481013 80 2 1
12 4.36358024691358 81 2 1
9 4.766335441132189 82 2 1
9 4.474875110196885 83 2 1
10 4.440045897877223 84 2 1
13 5.63249299719888 85 2 1
12 5.661833105335157 86 2 1
11 5.437583533814488 87 2 1
8 4.320271682340648 88 2 1
9 4.6496424923391215 89 2 1
11 4.355056179775281 90 2 1
12 4.868376068376068 91 2 1
10 4.753941710463449 92 2 1
11 4.982702197288453 93 2 1
8 3.55044612216884 94 2 1
10 4.563493840985442 95 2 1
10 4.6078947368421055 96 2 1
10 5.2646048109965635 97 2 1
10 4.629076372817168 98 2 1
11 4.9313543599257885 99 2 1
10 4.847272727272728 100 2 1
12 5.4760396039603965 101 2 1
10 4.791690933799262 102 2 1
11 5.136112697506187 103 2 1
9 4.358476474981329 104 2 1
10 4.728205128205128 105 2 1
8 3.930278526504942 106 2 1
12 5.728795626873567 107 2 1
10 4.652301834544825 108 2 1
10 4.917770981991166 109 2 1
8 3.8517097581317765 110 2 1
9 5.0001638001638 111 2 1
10 5.059523809523809 112 2 1
11 5.302781289506953 113 2 1
12 4.706256792423536 114 2 1
10 4.947673531655225 115 2 1
11 5.071664167916042 116 2 1
12 4.659888004715591 117 2 1
12 5.232507605388961 118 2 1
9 4.112804443811423 119 2 1
10 5.400560224089636 120 2 1
11 5.04573002754821 121 2 1
11 5.0888768459558325 122 2 1
10 4.613354658136745 123 2 1
9 4.509047993705743 124 2 1
12 5.50941935483871 125 2 1
10 4.705523809523809 126 2 1
12 4.891638545181852 127 2 1
11 5.482160433070866 128 2 1
10 4.520833333333333 129 2 1
11 4.810375670840787 130 2 1
10 5.188960657662948 131 2 1
11 5.231667823270877 132 2 1
9 4.113465481886535 133 2 1
8 4.419593760520705 134 2 1
13 5.7693753454947485 135 2 1
9 4.207080610021786 136 2 1
10 4.969300128810648 137 2 1
10 5.03416904686343 138 2 1
11 4.927536231884058 139 2 1
10 4.800411099691675 140 2 1
10 5.278824721377913 141 2 1
10 4.662271501348517 142 2 1
9 4.557667684428248 143 2 1
9 4.762334887334887 144 2 1
11 5.222030651340996 145 2 1
13 4.995370807746812 146 2 1
10 4.498369210697978 147 2 1
12 5.321566464423607 148 2 1
11 5.079811354979141 149 2 1
12 6.082058165548099 150 2 1
11 4.527858719646799 151 2 1
13 5.307249912861624 152 2 1
9 5.020639834881321 153 2 1
11 5.00585688820983 154 2 1
9 4.198240469208211 155 2 1
10 4.616294458229942 156 2 1
11 5.20921117099461 157 2 1
14 6.032814641618963 158 2 1
11 5.570257145131757 159 2 1
10 5.0746069182389935 160 2 1
12 5.570496894409938 161 2 1
11 5.5603864734299515 162 2 1
9 4.643641596606832 163 2 1
10 4.367649259314679 164 2 1
12 5.442128603104213 165 2 1
11 4.927637824023366 166 2 1
10 4.421470312387274 167 2 1
14 6.065654405474765 168 2 1
10 4.945759368836292 169 2 1
11 5.119596240863209 170 2 1
12 4.972273821809425 171 2 1
11 5.12953896368829 172 2 1
10 4.822153515257427 173 2 1
10 4.8721015214935885 174 2 1
12 5.519343185550082 175 2 1
12 5.620844155844156 176 2 1
11 5.316127375449409 177 2 1
12 5.496286421633974 178 2 1
9 4.280836105705856 179 2 1
11 5.296151458721291 180 2 1
10 4.867403314917127 181 2 1
11 4.848460931333859 182 2 1
13 5.3652795292139555 183 2 1
11 5.334818246614398 184 2 1
9 3.9930669800235017 185 2 1
9 4.606044754431851 186 2 1
9 4.94370651486401 187 2 1
11 5.563943565820913 188 2 1
11 4.597771023302938 189 2 1
9 4.6002784739626845 190 2 1
10 5.518545053733811 191 2 1
10 5.299574607329843 192 2 1
13 5.433937823834197 193 2 1
11 4.756583515837829 194 2 1
14 5.718107322231034 195 2 1
15 5.577551020408163 196 2 1
12 5.459546255050244 197 2 1
11 4.826949700046146 198 2 1
12 5.138419369575148 199 2 1
12 5.401608040201005 200 2 1
11 5.263980099502487 201 2 1
11 5.36022856016945 202 2 1
13 5.113495586011803 203 2 1
10 5.250893460832609 204 2 1
12 5.2982305117168815 205 2 1
12 5.4436656405399 206 2 1
13 5.777965386238919 207 2 1
12 5.674702712746191 208 2 1
13 5.720003680529996 209 2 1
11 5.444064707222602 210 2 1
12 5.465493116677951 211 2 1
13 6.1134758114995975 212 2 1
12 5.644078306315882 213 2 1
12 5.738932034575051 214 2 1
12 5.900456422516844 215 2 1
11 4.981352282515073 216 2 1
12 5.69184161119645 217 2 1
13 6.049126960639242 218 2 1
12 4.895479870973148 219 2 1
12 5.730469074304691 220 2 1
10 5.328259975318799 221 2 1
12 5.868941339529575 222 2 1
11 5.8308083868621985 223 2 1
10 4.880885650224215 224 2 1
10 5.292301587301587 225 2 1
12 5.3498525073746315 226 2 1
10 4.983587384507427 227 2 1
12 5.03644021949146 228 2 1
13 5.7787481804949055 229 2 1
10 5.5281184735143345 230 2 1
11 5.2528514963297575 231 2 1
12 5.965815793402 232 2 1
11 5.594864584874944 233 2 1
10 4.534903341770295 234 2 1
13 5.623422440443717 235 2 1
13 5.986512802019473 236 2 1
12 5.264893084459701 237 2 1
12 5.722830904513704 238 2 1
12 5.461551984810661 239 2 1
10 4.982845188284519 240 2 1
12 5.901106500691563 241 2 1
10 5.1421761942320225 242 2 1
11 5.542019521817502 243 2 1
11 5.3267557174661 244 2 1
11 5.54339243894279 245 2 1
11 5.206072672971628 246 2 1
11 5.466377011948257 247 2 1
11 5.027099386182578 248 2 1
14 5.534978624174116 249 2 1
14 6.258441767068273 250 2 1
12 5.590565737051793 251 2 1
12 5.490419275279833 252 2 1
11 5.437731350774829 253 2 1
13 6.11767451993402 254 2 1
12 5.471360197622356 255 2 1
9 4.567738970588235 256 2 1
13 5.4403574902723735 257 2 1
11 5.741139565046904 258 2 1
13 6.061416898626201 259 2 1
12 6.147609147609147 260 2 1
13 5.763395225464191 261 2 1
12 5.752771197098651 262 2 1
12 5.599628479377703 263 2 1
10 4.884836962783731 264 2 1
13 5.427672955974843 265 2 1
13 5.49936161157611 266 2 1
13 5.8628593956802115 267 2 1
14 6.310553971714461 268 2 1
10 5.351439826887866 269 2 1
10 5.156546881453945 270 2 1
13 5.567910345770124 271 2 1
11 5.641550900803126 272 2 1
14 5.947478991596639 273 2 1
9 4.740488222240047 274 2 1
12 5.396735235567353 275 2 1
14 5.8766534914361 276 2 1
14 5.924710929733689 277 2 1
12 5.384905072332026 278 2 1
10 4.942213970758877 279 2 1
14 5.923451100870456 280 2 1
11 5.164972038637519 281 2 1
14 6.131748315287347 282 2 1
12 5.78663258401624 283 2 1
14 5.701388543273777 284 2 1
14 6.381319495922906 285 2 1
12 5.412121212121212 286 2 1
13 6.347993469944689 287 2 1
13 6.336938637243516 288 2 1
12 6.208189158016148 289 2 1
12 5.904378952392316 290 2 1
13 5.65085910652921 291 2 1
12 5.828531751635833 292 2 1
12 6.014306419187433 293 2 1
12 5.655174014998491 294 2 1
12 5.54299550328606 295 2 1
13 5.642098030233623 296 2 1
12 5.261716261716262 297 2 1
11 4.786952297019411 298 2 1
10 5.325537024982604 299 2 1
12 6.034069119286511 300 2 1
15 6.2457142857142856 301 2 1
14 5.53002134166465 302 2 1
13 5.717657858501082 303 2 1
12 5.683537432690637 304 2 1
13 5.88421052631579 305 2 1
11 5.825650916104147 306 2 1
11 5.585999872261608 307 2 1
13 5.769258428867549 308 2 1
13 6.339973941915689 309 2 1
12 5.7844242614051575 310 2 1
14 6.1756249351727 311 2 1
14 6.360726358314783 312 2 1
11 5.349102973703613 313 2 1
11 5.95221912455994 314 2 1
13 6.188130623799414 315 2 1
11 5.702772754671489 316 2 1
15 5.994848859960867 317 2 1
16 7.097394996329584 318 2 1
12 5.339524063011376 319 2 1
15 6.209110501567398 320 2 1
11 5.682048286604362 321 2 1
13 6.098140515856891 322 2 1
13 6.05534296098302 323 2 1
12 5.468352253181974 324 2 1
15 7.303019943019943 325 2 1
14 7.020500235960359 326 2 1
13 5.79452543104257 327 2 1
14 6.0730588498545535 328 2 1
13 5.702757802654014 329 2 1
15 6.065137699180252 330 2 1
13 6.03607067655406 331 2 1
12 5.610544898627744 332 2 1
12 5.655812438944969 333 2 1
12 5.939832047616479 334 2 1
11 5.995102332648137 335 2 1
17 6.499609097370292 336 2 1
11 5.363254203758655 337 2 1
12 5.815163380331151 338 2 1
11 5.21956328219092 339 2 1
14 5.701231997223668 340 2 1
12 5.305606348111092 341 2 1
14 5.929550170636758 342 2 1
11 5.4335839598997495 343 2 1
13 5.7994101295003055 344 2 1
12 5.725446579036063 345 2 1
13 6.041936835050683 346 2 1
13 6.030251036964235 347 2 1
14 5.622610884759349 348 2 1
15 5.695715179659454 349 2 1
15 6.384297994269341 350 2 1
17 6.751029711029711 351 2 1
15 6.8270040145040145 352 2 1
13 6.000128766417718 353 2 1
15 6.484899409420464 354 2 1
10 5.55664836476486 355 2 1
15 6.956860262699794 356 2 1
