Diameter Average-Path-Length nodes initial links
15 6.586646229307173 700 2 1
12 6.502129572859187 700 3 1
11 5.638728796239526 700 4 1
12 5.48337216431637 700 5 1
13 5.7522215409769055 700 6 1
13 5.801704475781729 700 7 1
11 5.079239730226854 700 8 1
11 5.087341099529941 700 9 1
10 4.651481708563254 700 10 1
10 4.7424524831391786 700 11 1
10 4.513901491927243 700 12 1
10 4.438009401185367 700 13 1
9 4.200065399550378 700 14 1
8 4.0326670754138565 700 15 1
10 4.022084610668301 700 16 1
9 4.015924790517065 700 17 1
11 4.0227263437563865 700 18 1
9 3.9571673819742488 700 19 1
8 3.8162558757408545 700 20 1
8 3.7726466380543635 700 21 1
9 3.612994073165747 700 22 1
7 3.5502636419374616 700 23 1
9 3.7135949315348458 700 24 1
8 3.539897813202534 700 25 1
8 3.5343879010831802 700 26 1
7 3.475438381361128 700 27 1
7 3.357334968322093 700 28 1
7 3.4105579399141632 700 29 1
7 3.354257101982424 700 30 1
7 3.38068669527897 700 31 1
7 3.3859350091968117 700 32 1
7 3.3480155323932146 700 33 1
7 3.332642550582465 700 34 1
10 3.411906805640711 700 35 1
8 3.277277743715512 700 36 1
7 3.266621704475782 700 37 1
6 3.125268751277335 700 38 1
7 3.1744369507459638 700 39 1
6 3.209797670141018 700 40 1
6 3.1595503780911507 700 41 1
6 3.1427181688125896 700 42 1
7 3.1235356631923157 700 43 1
6 3.0786225219701615 700 44 1
6 3.1047741671776006 700 45 1
6 3.088424279583078 700 46 1
6 3.076648273043123 700 47 1
6 3.041471489883507 700 48 1
6 3.1037931739219293 700 49 1
5 3.0216431637032497 700 50 1
6 3.0108931126098506 700 51 1
7 3.092953198446761 700 52 1
7 3.045575311669732 700 53 1
5 3.0037768240343348 700 54 1
6 2.9809932556713674 700 55 1
6 3.0406458205599836 700 56 1
5 2.958929082362559 700 57 1
5 2.9899080318822806 700 58 1
5 2.959636215001022 700 59 1
5 2.9541590026568567 700 60 1
5 2.9594318414060905 700 61 1
5 2.911686082158185 700 62 1
6 2.949209074187615 700 63 1
6 2.944263233190272 700 64 1
6 2.946785203351727 700 65 1
5 2.9443245452687514 700 66 1
5 2.9208910688739014 700 67 1
5 2.904671980380135 700 68 1
5 2.876468424279583 700 69 1
5 2.8734559574902923 700 70 1
5 2.902701818924995 700 71 1
6 2.939227467811159 700 72 1
5 2.8824116084201923 700 73 1
6 2.877363580625383 700 74 1
5 2.869339873288371 700 75 1
5 2.8693766605354587 700 76 1
5 2.83823829961169 700 77 1
6 2.8497240956468426 700 78 1
6 2.8638790108318006 700 79 1
5 2.8299121193541796 700 80 1
5 2.841524627018189 700 81 1
5 2.8467320662170446 700 82 1
5 2.833267933782955 700 83 1
5 2.8281422440220725 700 84 1
4 2.819215205395463 700 85 1
5 2.828158593909667 700 86 1
4 2.802881667688535 700 87 1
4 2.7827099938687923 700 88 1
4 2.779930512977723 700 89 1
5 2.794134477825465 700 90 1
5 2.7830615164520744 700 91 1
4 2.78364193746168 700 92 1
5 2.7862293071735134 700 93 1
5 2.7861148579603516 700 94 1
4 2.754653586756591 700 95 1
5 2.7752176578786023 700 96 1
5 2.761136317187819 700 97 1
4 2.772307377886777 700 98 1
4 2.746850602902105 700 99 1
4 2.743952585325976 700 100 1
5 2.752838749233599 700 101 1
4 2.7643776824034334 700 102 1
4 2.7586633966891476 700 103 1
5 2.744823216840384 700 104 1
4 2.7338197424892705 700 105 1
4 2.7274637236868995 700 106 1
5 2.7305088902513797 700 107 1
4 2.7220232985898223 700 108 1
5 2.7534763948497853 700 109 1
4 2.7196852646638052 700 110 1
4 2.7107377886777027 700 111 1
4 2.69695483343552 700 112 1
4 2.716967095851216 700 113 1
4 2.711154710811363 700 114 1
5 2.705448600040875 700 115 1
4 2.691534845697936 700 116 1
4 2.7029797670141016 700 117 1
4 2.6830492540363786 700 118 1
4 2.6887921520539546 700 119 1
5 2.6743633762517884 700 120 1
5 2.691845493562232 700 121 1
4 2.674874310239117 700 122 1
5 2.671808706315144 700 123 1
5 2.652254240752095 700 124 1
4 2.663208665440425 700 125 1
4 2.663662374821173 700 126 1
5 2.669000613120785 700 127 1
4 2.649482934804823 700 128 1
4 2.640850194154915 700 129 1
4 2.638340486409156 700 130 1
4 2.6441896586960967 700 131 1
4 2.6384099734314326 700 132 1
4 2.626862865317801 700 133 1
4 2.632548538728796 700 134 1
5 2.6410341303903535 700 135 1
4 2.635773554056816 700 136 1
4 2.6184998978132024 700 137 1
4 2.6216676885346413 700 138 1
4 2.6269609646433683 700 139 1
4 2.6129899856938485 700 140 1
4 2.610218679746577 700 141 1
4 2.6097200081749437 700 142 1
4 2.598990394441038 700 143 1
4 2.5933088085019413 700 144 1
4 2.598912732474964 700 145 1
4 2.6074882485182913 700 146 1
4 2.5904639280604944 700 147 1
4 2.6048967913345598 700 148 1
4 2.5819783363989375 700 149 1
4 2.5818965869609647 700 150 1
4 2.5850398528510117 700 151 1
4 2.5794073165746987 700 152 1
4 2.5650725526262006 700 153 1
4 2.5794400163498876 700 154 1
4 2.5595830778663395 700 155 1
4 2.5649989781320253 700 156 1
5 2.5766400980993254 700 157 1
4 2.5510320866544043 700 158 1
4 2.5482607807071327 700 159 1
4 2.5454608624565704 700 160 1
5 2.5540036787247087 700 161 1
4 2.5453096259963215 700 162 1
4 2.5426364193746167 700 163 1
4 2.554130390353566 700 164 1
4 2.5426854690374006 700 165 1
4 2.5398528510116494 700 166 1
4 2.528714490087881 700 167 1
4 2.5483711424483957 700 168 1
4 2.5287063151440834 700 169 1
4 2.511608420192111 700 170 1
4 2.5315920703045167 700 171 1
5 2.511391784181484 700 172 1
4 2.5032127529123236 700 173 1
4 2.5146290619251994 700 174 1
4 2.5004169221336605 700 175 1
4 2.4973635806253833 700 176 1
4 2.5034048640915594 700 177 1
4 2.491857755977928 700 178 1
4 2.5003474351113835 700 179 1
4 2.489143674637237 700 180 1
4 2.4949356223175965 700 181 1
4 2.4862660944206008 700 182 1
5 2.4975475168608217 700 183 1
4 2.497351318209687 700 184 1
4 2.4778459023094217 700 185 1
4 2.47211935417944 700 186 1
4 2.4863601062742693 700 187 1
4 2.475021459227468 700 188 1
4 2.4665031677907217 700 189 1
4 2.4578132025342327 700 190 1
4 2.4578213774780298 700 191 1
4 2.45220927856121 700 192 1
4 2.4466503167790723 700 193 1
4 2.4495033721643162 700 194 1
4 2.4408828939301044 700 195 1
4 2.446748416104639 700 196 1
4 2.441115879828326 700 197 1
4 2.432474964234621 700 198 1
4 2.4382546494992847 700 199 1
4 2.4409360310647865 700 200 1
4 2.429891681994686 700 201 1
4 2.4212139791538934 700 202 1
4 2.418352748824852 700 203 1
4 2.421205804210096 700 204 1
4 2.4155773554056816 700 205 1
4 2.4184794604537094 700 206 1
4 2.412838749233599 700 207 1
4 2.4127161250766402 700 208 1
4 2.4071408134069077 700 209 1
4 2.401451052524014 700 210 1
4 2.404193746167995 700 211 1
4 2.3984222358471285 700 212 1
4 2.4015859390966687 700 213 1
4 2.3871122011036174 700 214 1
4 2.389883507050889 700 215 1
3 2.378630696913959 700 216 1
4 2.3786429593296545 700 217 1
4 2.3871367259350094 700 218 1
4 2.375757204169221 700 219 1
4 2.3729858982219496 700 220 1
4 2.36737379930513 700 221 1
3 2.3616636010627428 700 222 1
4 2.3701001430615163 700 223 1
4 2.370104230533415 700 224 1
4 2.3587778459023094 700 225 1
4 2.353112609850807 700 226 1
4 2.3560392397302268 700 227 1
4 2.3501737175556916 700 228 1
4 2.3474105865522175 700 229 1
4 2.347447373799305 700 230 1
4 2.341814837522992 700 231 1
3 2.3332434089515637 700 232 1
3 2.330459840588596 700 233 1
4 2.3332270590639688 700 234 1
4 2.3276558348661354 700 235 1
