Diameter Average-Path-Length nodes initial links
14 5.664881763527054 500 2 1
7 3.800384769539078 500 2 2
5 3.2607615230460922 500 2 3
4 2.9991422845691385 500 2 4
4 2.784144288577154 500 2 5
4 2.66335871743487 500 2 6
4 2.5517194388777553 500 2 7
4 2.4913426853707414 500 2 8
4 2.433122244488978 500 2 9
3 2.3792705410821644 500 2 10
3 2.317699398797595 500 2 11
3 2.266861723446894 500 2 12
3 2.22813627254509 500 2 13
3 2.1796633266533068 500 2 14
3 2.1507414829659317 500 2 15
3 2.112456913827655 500 2 16
3 2.0809218436873747 500 2 17
3 2.057170340681363 500 2 18
3 2.0338997995991983 500 2 19
3 2.0154068136272545 500 2 20
3 1.992248496993988 500 2 21
3 1.9793266533066132 500 2 22
3 1.9686653306613227 500 2 23
3 1.9554629258517033 500 2 24
3 1.9432464929859719 500 2 25
3 1.936432865731463 500 2 26
3 1.9241122244488977 500 2 27
3 1.9203607214428857 500 2 28
3 1.9137715430861724 500 2 29
3 1.9071663326653308 500 2 30
3 1.9010901803607214 500 2 31
3 1.8963286573146292 500 2 32
3 1.8913507014028057 500 2 33
3 1.8872545090180362 500 2 34
3 1.8827655310621243 500 2 35
3 1.8790140280561123 500 2 36
3 1.875310621242485 500 2 37
2 1.8710300601202405 500 2 38
3 1.8679198396793588 500 2 39
3 1.8644328657314628 500 2 40
3 1.861434869739479 500 2 41
3 1.8583887775551102 500 2 42
2 1.8548537074148297 500 2 43
2 1.8518957915831664 500 2 44
2 1.8490581162324649 500 2 45
3 1.8452745490981963 500 2 46
3 1.84225250501002 500 2 47
2 1.8393507014028057 500 2 48
3 1.8366492985971943 500 2 49
2 1.833258517034068 500 2 50
2 1.8312384769539078 500 2 51
2 1.828240480961924 500 2 52
2 1.8250981963927855 500 2 53
2 1.8220120240480961 500 2 54
2 1.819687374749499 500 2 55
2 1.8167855711422847 500 2 56
2 1.8134348697394789 500 2 57
2 1.8110380761523046 500 2 58
2 1.809130260521042 500 2 59
2 1.80588376753507 500 2 60
2 1.8028617234468938 500 2 61
2 1.8012424849699398 500 2 62
2 1.7971462925851704 500 2 63
2 1.7950140280561122 500 2 64
2 1.7925691382765532 500 2 65
2 1.7897074148296592 500 2 66
2 1.786565130260521 500 2 67
2 1.7842244488977956 500 2 68
2 1.781114228456914 500 2 69
2 1.7792625250501002 500 2 70
2 1.7764488977955912 500 2 71
2 1.774068136272545 500 2 72
2 1.7715190380761523 500 2 73
2 1.7687214428857716 500 2 74
2 1.7656513026052105 500 2 75
2 1.763246492985972 500 2 76
2 1.7620360721442885 500 2 77
2 1.7593426853707415 500 2 78
2 1.7546132264529057 500 2 79
2 1.7537314629258518 500 2 80
2 1.7509579158316633 500 2 81
2 1.7490501002004009 500 2 82
2 1.746693386773547 500 2 83
2 1.7435991983967936 500 2 84
2 1.7403527054108217 500 2 85
2 1.7384769539078155 500 2 86
2 1.7359519038076152 500 2 87
2 1.7342685370741482 500 2 88
2 1.7310861723446893 500 2 89
2 1.729563126252505 500 2 90
2 1.7265170340681362 500 2 91
2 1.724929859719439 500 2 92
2 1.7213787575150301 500 2 93
2 1.7199278557114228 500 2 94
2 1.7175390781563127 500 2 95
2 1.7149018036072143 500 2 96
2 1.7125531062124248 500 2 97
2 1.7101402805611223 500 2 98
2 1.707382765531062 500 2 99
2 1.7053466933867736 500 2 100
2 1.7046092184368737 500 2 101
2 1.7012985971943888 500 2 102
2 1.6994869739478957 500 2 103
2 1.6964889779559118 500 2 104
2 1.6947174348697396 500 2 105
2 1.691815631262525 500 2 106
2 1.6902124248496995 500 2 107
2 1.687318637274549 500 2 108
2 1.6854268537074149 500 2 109
2 1.6836633266533065 500 2 110
2 1.6807935871743487 500 2 111
2 1.6782605210420842 500 2 112
2 1.6770420841683367 500 2 113
2 1.6743967935871744 500 2 114
2 1.672561122244489 500 2 115
2 1.6705811623246494 500 2 116
2 1.6679038076152304 500 2 117
2 1.664745490981964 500 2 118
2 1.663511022044088 500 2 119
2 1.6617314629258517 500 2 120
2 1.6590460921843688 500 2 121
2 1.6584448897795592 500 2 122
2 1.655815631262525 500 2 123
2 1.6535791583166333 500 2 124
2 1.6513426853707416 500 2 125
2 1.6491543086172344 500 2 126
2 1.6472224448897796 500 2 127
2 1.6450180360721443 500 2 128
2 1.6433987975951905 500 2 129
2 1.6414749498997996 500 2 130
2 1.6389418837675351 500 2 131
2 1.6372344689378757 500 2 132
2 1.6352064128256514 500 2 133
2 1.6328016032064128 500 2 134
2 1.630188376753507 500 2 135
2 1.6292985971943887 500 2 136
2 1.6274549098196394 500 2 137
2 1.6258597194388777 500 2 138
2 1.623118236472946 500 2 139
2 1.6222925851703407 500 2 140
2 1.6201122244488977 500 2 141
2 1.6171462925851703 500 2 142
2 1.6160320641282566 500 2 143
2 1.6120240480961925 500 2 144
2 1.6118236472945893 500 2 145
2 1.608697394789579 500 2 146
2 1.608689378757515 500 2 147
2 1.605322645290581 500 2 148
2 1.603807615230461 500 2 149
2 1.6015390781563126 500 2 150
2 1.599503006012024 500 2 151
2 1.5991983967935872 500 2 152
2 1.5963206412825652 500 2 153
2 1.5938677354709418 500 2 154
2 1.5934028056112224 500 2 155
2 1.5915831663326654 500 2 156
2 1.5889859719438877 500 2 157
2 1.5875110220440882 500 2 158
2 1.585322645290581 500 2 159
2 1.5840160320641283 500 2 160
2 1.581755511022044 500 2 161
2 1.5798877755511023 500 2 162
2 1.5780440881763527 500 2 163
2 1.575871743486974 500 2 164
2 1.5733306613226452 500 2 165
2 1.5725130260521043 500 2 166
2 1.57149498997996 500 2 167
2 1.5701162324649298 500 2 168
2 1.5670781563126253 500 2 169
2 1.5656032064128256 500 2 170
2 1.5641042084168337 500 2 171
2 1.5619719438877755 500 2 172
2 1.5603286573146293 500 2 173
2 1.559751503006012 500 2 174
2 1.5568496993987977 500 2 175
2 1.556248496993988 500 2 176
2 1.5534509018036071 500 2 177
2 1.5529138276553107 500 2 178
2 1.5493947895791582 500 2 179
2 1.5490020040080161 500 2 180
2 1.5473587174348697 500 2 181
2 1.5462765531062124 500 2 182
2 1.5434549098196393 500 2 183
2 1.5406973947895792 500 2 184
2 1.5399759519038076 500 2 185
2 1.5382284569138276 500 2 186
2 1.5366412825651303 500 2 187
2 1.5352064128256513 500 2 188
2 1.5330100200400802 500 2 189
2 1.5323446893787576 500 2 190
2 1.5308857715430861 500 2 191
2 1.529362725450902 500 2 192
2 1.526749498997996 500 2 193
2 1.5252745490981965 500 2 194
2 1.5234709418837675 500 2 195
2 1.5234228456913828 500 2 196
2 1.5202244488977956 500 2 197
2 1.5193266533066132 500 2 198
2 1.516929859719439 500 2 199
2 1.5159839679358718 500 2 200
2 1.5138116232464929 500 2 201
2 1.5126653306613227 500 2 202
2 1.5122725450901804 500 2 203
2 1.5104529058116232 500 2 204
2 1.508617234468938 500 2 205
