Diameter Average-Path-Length nodes initial rewiring
1 1 2 2 0.6
1 1 3 2 0.6
2 1.3333333333333333 4 2 0.6
3 1.6 5 2 0.6
3 1.7333333333333334 6 2 0.6
5 2.238095238095238 7 2 0.6
4 2.25 8 2 0.6
5 2.4166666666666665 9 2 0.6
6 2.7333333333333334 10 2 0.6
7 3.018181818181818 11 2 0.6
7 3.227272727272727 12 2 0.6
8 3.5 13 2 0.6
7 3.10989010989011 14 2 0.6
5 -1 15 2 0.6
6 -1 16 2 0.6
6 -1 17 2 0.6
9 3.810457516339869 18 2 0.6
9 -1 19 2 0.6
9 4.121052631578947 20 2 0.6
10 -1 21 2 0.6
8 -1 22 2 0.6
8 -1 23 2 0.6
11 -1 24 2 0.6
11 4.92 25 2 0.6
7 -1 26 2 0.6
10 -1 27 2 0.6
14 5.9867724867724865 28 2 0.6
12 5.187192118226601 29 2 0.6
11 -1 30 2 0.6
14 6.2279569892473114 31 2 0.6
14 5.707661290322581 32 2 0.6
12 -1 33 2 0.6
13 -1 34 2 0.6
13 -1 35 2 0.6
16 -1 36 2 0.6
12 -1 37 2 0.6
13 5.691322901849218 38 2 0.6
14 5.7854251012145745 39 2 0.6
17 7.02051282051282 40 2 0.6
16 6.273170731707317 41 2 0.6
17 6.322880371660859 42 2 0.6
14 6.305647840531561 43 2 0.6
15 -1 44 2 0.6
20 -1 45 2 0.6
12 -1 46 2 0.6
15 -1 47 2 0.6
14 6.2703900709219855 48 2 0.6
17 7.450680272108843 49 2 0.6
12 -1 50 2 0.6
22 7.96078431372549 51 2 0.6
17 -1 52 2 0.6
13 -1 53 2 0.6
15 -1 54 2 0.6
18 -1 55 2 0.6
19 7.94025974025974 56 2 0.6
14 6.586466165413534 57 2 0.6
20 8.376285541439806 58 2 0.6
21 -1 59 2 0.6
22 -1 60 2 0.6
19 -1 61 2 0.6
12 -1 62 2 0.6
21 -1 63 2 0.6
18 8.008928571428571 64 2 0.6
29 11.615384615384615 65 2 0.6
17 -1 66 2 0.6
20 8.44504748982361 67 2 0.6
18 8.319139596136962 68 2 0.6
14 6.892583120204604 69 2 0.6
18 -1 70 2 0.6
22 -1 71 2 0.6
23 -1 72 2 0.6
23 -1 73 2 0.6
19 -1 74 2 0.6
25 -1 75 2 0.6
26 9.33157894736842 76 2 0.6
15 -1 77 2 0.6
24 9.896103896103897 78 2 0.6
18 -1 79 2 0.6
22 -1 80 2 0.6
30 12.33827160493827 81 2 0.6
20 8.903944595001505 82 2 0.6
22 -1 83 2 0.6
22 -1 84 2 0.6
25 -1 85 2 0.6
25 -1 86 2 0.6
28 11.540764501470195 87 2 0.6
21 -1 88 2 0.6
23 -1 89 2 0.6
31 11.043196004993758 90 2 0.6
32 12.112332112332112 91 2 0.6
24 -1 92 2 0.6
28 -1 93 2 0.6
18 -1 94 2 0.6
26 -1 95 2 0.6
21 -1 96 2 0.6
26 -1 97 2 0.6
28 -1 98 2 0.6
24 -1 99 2 0.6
19 -1 100 2 0.6
24 -1 101 2 0.6
14 -1 102 2 0.6
26 11.719779173805444 103 2 0.6
20 -1 104 2 0.6
37 -1 105 2 0.6
33 12.768014375561545 106 2 0.6
28 10.64821019220596 107 2 0.6
29 -1 108 2 0.6
39 13.81719334012912 109 2 0.6
32 -1 110 2 0.6
26 -1 111 2 0.6
37 -1 112 2 0.6
27 -1 113 2 0.6
26 -1 114 2 0.6
32 -1 115 2 0.6
31 -1 116 2 0.6
28 -1 117 2 0.6
26 -1 118 2 0.6
24 -1 119 2 0.6
18 -1 120 2 0.6
18 -1 121 2 0.6
25 -1 122 2 0.6
37 14.91536718645875 123 2 0.6
28 -1 124 2 0.6
32 12.468903225806452 125 2 0.6
16 -1 126 2 0.6
28 -1 127 2 0.6
48 -1 128 2 0.6
29 -1 129 2 0.6
26 -1 130 2 0.6
15 -1 131 2 0.6
24 -1 132 2 0.6
23 -1 133 2 0.6
29 -1 134 2 0.6
23 -1 135 2 0.6
26 -1 136 2 0.6
40 -1 137 2 0.6
32 -1 138 2 0.6
23 -1 139 2 0.6
44 -1 140 2 0.6
18 -1 141 2 0.6
29 -1 142 2 0.6
28 12.640401851669457 143 2 0.6
26 -1 144 2 0.6
35 -1 145 2 0.6
17 -1 146 2 0.6
27 -1 147 2 0.6
33 13.78488692774407 148 2 0.6
29 -1 149 2 0.6
30 13.699597315436241 150 2 0.6
20 -1 151 2 0.6
22 -1 152 2 0.6
27 -1 153 2 0.6
21 -1 154 2 0.6
37 -1 155 2 0.6
33 13.411248966087676 156 2 0.6
23 -1 157 2 0.6
42 -1 158 2 0.6
26 -1 159 2 0.6
35 14.117216981132076 160 2 0.6
39 16.27639751552795 161 2 0.6
33 -1 162 2 0.6
32 -1 163 2 0.6
38 14.681206045189287 164 2 0.6
33 -1 165 2 0.6
36 14.498211025921869 166 2 0.6
33 -1 167 2 0.6
43 -1 168 2 0.6
35 14.036207382361228 169 2 0.6
23 -1 170 2 0.6
29 -1 171 2 0.6
34 13.351829185366517 172 2 0.6
35 15.311264954967065 173 2 0.6
35 -1 174 2 0.6
27 -1 175 2 0.6
22 -1 176 2 0.6
29 -1 177 2 0.6
22 -1 178 2 0.6
33 15.006088757767873 179 2 0.6
34 -1 180 2 0.6
32 -1 181 2 0.6
26 -1 182 2 0.6
50 19.188374467062992 183 2 0.6
35 15.743169398907105 184 2 0.6
28 -1 185 2 0.6
36 -1 186 2 0.6
42 -1 187 2 0.6
28 -1 188 2 0.6
37 -1 189 2 0.6
39 -1 190 2 0.6
37 -1 191 2 0.6
42 -1 192 2 0.6
57 -1 193 2 0.6
33 -1 194 2 0.6
32 -1 195 2 0.6
34 -1 196 2 0.6
31 -1 197 2 0.6
35 -1 198 2 0.6
38 16.974823613014568 199 2 0.6
47 18.63140703517588 200 2 0.6
26 -1 201 2 0.6
35 -1 202 2 0.6
29 -1 203 2 0.6
43 16.777504105090312 204 2 0.6
32 -1 205 2 0.6
32 13.550177598863367 206 2 0.6
39 -1 207 2 0.6
39 -1 208 2 0.6
40 -1 209 2 0.6
39 -1 210 2 0.6
24 -1 211 2 0.6
41 -1 212 2 0.6
37 -1 213 2 0.6
57 -1 214 2 0.6
42 17.09228428602478 215 2 0.6
42 -1 216 2 0.6
35 -1 217 2 0.6
51 20.443580095548132 218 2 0.6
43 -1 219 2 0.6
29 -1 220 2 0.6
39 -1 221 2 0.6
29 -1 222 2 0.6
55 21.200420151092796 223 2 0.6
33 -1 224 2 0.6
24 -1 225 2 0.6
47 19.460176991150444 226 2 0.6
43 -1 227 2 0.6
30 -1 228 2 0.6
70 -1 229 2 0.6
32 -1 230 2 0.6
40 16.131225296442686 231 2 0.6
48 -1 232 2 0.6
42 17.273716146218735 233 2 0.6
45 19.428304170793442 234 2 0.6
41 -1 235 2 0.6
42 -1 236 2 0.6
46 19.150146606593722 237 2 0.6
29 -1 238 2 0.6
51 -1 239 2 0.6
52 -1 240 2 0.6
30 -1 241 2 0.6
55 -1 242 2 0.6
57 -1 243 2 0.6
32 -1 244 2 0.6
32 -1 245 2 0.6
47 -1 246 2 0.6
39 -1 247 2 0.6
38 -1 248 2 0.6
36 -1 249 2 0.6
43 -1 250 2 0.6
35 -1 251 2 0.6
51 -1 252 2 0.6
45 -1 253 2 0.6
49 -1 254 2 0.6
50 -1 255 2 0.6
32 -1 256 2 0.6
55 22.74030277237354 257 2 0.6
49 19.973788194130243 258 2 0.6
37 -1 259 2 0.6
46 19.692753192753194 260 2 0.6
29 -1 261 2 0.6
45 -1 262 2 0.6
43 -1 263 2 0.6
30 -1 264 2 0.6
38 -1 265 2 0.6
30 -1 266 2 0.6
43 -1 267 2 0.6
31 -1 268 2 0.6
47 -1 269 2 0.6
60 23.053228693377392 270 2 0.6
50 -1 271 2 0.6
41 18.15495441719123 272 2 0.6
33 14.382164404223229 273 2 0.6
49 -1 274 2 0.6
39 -1 275 2 0.6
42 -1 276 2 0.6
41 -1 277 2 0.6
43 -1 278 2 0.6
49 18.832314793326628 279 2 0.6
39 -1 280 2 0.6
40 -1 281 2 0.6
46 -1 282 2 0.6
39 -1 283 2 0.6
34 -1 284 2 0.6
41 -1 285 2 0.6
35 -1 286 2 0.6
41 -1 287 2 0.6
47 -1 288 2 0.6
27 -1 289 2 0.6
32 -1 290 2 0.6
44 -1 291 2 0.6
49 -1 292 2 0.6
55 -1 293 2 0.6
51 20.144528801281606 294 2 0.6
31 -1 295 2 0.6
40 18.362299587723317 296 2 0.6
31 -1 297 2 0.6
36 -1 298 2 0.6
45 -1 299 2 0.6
50 20.110791527313268 300 2 0.6
66 -1 301 2 0.6
43 -1 302 2 0.6
46 -1 303 2 0.6
66 24.27219037693243 304 2 0.6
23 -1 305 2 0.6
54 23.89101039322833 306 2 0.6
38 -1 307 2 0.6
52 -1 308 2 0.6
41 -1 309 2 0.6
53 -1 310 2 0.6
54 22.671610828752204 311 2 0.6
30 -1 312 2 0.6
43 -1 313 2 0.6
52 -1 314 2 0.6
40 -1 315 2 0.6
34 -1 316 2 0.6
79 -1 317 2 0.6
37 -1 318 2 0.6
50 -1 319 2 0.6
43 -1 320 2 0.6
80 -1 321 2 0.6
51 20.346278129293164 322 2 0.6
42 -1 323 2 0.6
52 -1 324 2 0.6
24 -1 325 2 0.6
31 -1 326 2 0.6
40 -1 327 2 0.6
61 -1 328 2 0.6
34 -1 329 2 0.6
44 -1 330 2 0.6
39 -1 331 2 0.6
53 -1 332 2 0.6
42 -1 333 2 0.6
37 -1 334 2 0.6
35 -1 335 2 0.6
69 28.80872423596304 336 2 0.6
35 -1 337 2 0.6
48 -1 338 2 0.6
74 -1 339 2 0.6
38 -1 340 2 0.6
37 -1 341 2 0.6
45 -1 342 2 0.6
55 -1 343 2 0.6
46 -1 344 2 0.6
33 -1 345 2 0.6
43 -1 346 2 0.6
35 -1 347 2 0.6
46 19.267266222796383 348 2 0.6
41 -1 349 2 0.6
50 -1 350 2 0.6
57 -1 351 2 0.6
55 -1 352 2 0.6
46 -1 353 2 0.6
44 -1 354 2 0.6
35 -1 355 2 0.6
59 -1 356 2 0.6
45 -1 357 2 0.6
44 -1 358 2 0.6
60 -1 359 2 0.6
43 -1 360 2 0.6
64 -1 361 2 0.6
54 -1 362 2 0.6
66 24.872532456661034 363 2 0.6
45 -1 364 2 0.6
35 -1 365 2 0.6
44 -1 366 2 0.6
56 -1 367 2 0.6
44 -1 368 2 0.6
55 -1 369 2 0.6
61 -1 370 2 0.6
54 23.992744226706492 371 2 0.6
50 -1 372 2 0.6
57 -1 373 2 0.6
45 -1 374 2 0.6
42 -1 375 2 0.6
44 -1 376 2 0.6
32 -1 377 2 0.6
50 22.041542110507628 378 2 0.6
63 22.979310633664195 379 2 0.6
42 -1 380 2 0.6
34 -1 381 2 0.6
52 -1 382 2 0.6
48 20.125107651087447 383 2 0.6
48 -1 384 2 0.6
43 -1 385 2 0.6
31 -1 386 2 0.6
47 -1 387 2 0.6
53 -1 388 2 0.6
47 -1 389 2 0.6
54 -1 390 2 0.6
57 -1 391 2 0.6
45 -1 392 2 0.6
45 -1 393 2 0.6
38 -1 394 2 0.6
50 -1 395 2 0.6
49 -1 396 2 0.6
66 -1 397 2 0.6
52 -1 398 2 0.6
68 -1 399 2 0.6
77 30.658283208020052 400 2 0.6
62 24.769650872817955 401 2 0.6
39 -1 402 2 0.6
48 -1 403 2 0.6
55 -1 404 2 0.6
70 25.502530253025302 405 2 0.6
75 -1 406 2 0.6
52 -1 407 2 0.6
80 -1 408 2 0.6
51 -1 409 2 0.6
50 -1 410 2 0.6
37 -1 411 2 0.6
55 -1 412 2 0.6
71 -1 413 2 0.6
50 -1 414 2 0.6
49 -1 415 2 0.6
60 22.49051204819277 416 2 0.6
48 -1 417 2 0.6
60 -1 418 2 0.6
50 -1 419 2 0.6
71 27.932333219684054 420 2 0.6
63 28.173724691776947 421 2 0.6
54 -1 422 2 0.6
66 -1 423 2 0.6
53 -1 424 2 0.6
51 -1 425 2 0.6
71 -1 426 2 0.6
66 -1 427 2 0.6
52 -1 428 2 0.6
59 -1 429 2 0.6
81 -1 430 2 0.6
43 -1 431 2 0.6
53 22.064073644410072 432 2 0.6
58 -1 433 2 0.6
75 -1 434 2 0.6
72 28.39970337411939 435 2 0.6
49 -1 436 2 0.6
69 24.150179497407258 437 2 0.6
62 -1 438 2 0.6
44 -1 439 2 0.6
58 -1 440 2 0.6
60 -1 441 2 0.6
52 -1 442 2 0.6
58 -1 443 2 0.6
79 -1 444 2 0.6
60 -1 445 2 0.6
33 -1 446 2 0.6
58 -1 447 2 0.6
39 -1 448 2 0.6
53 -1 449 2 0.6
41 -1 450 2 0.6
67 -1 451 2 0.6
48 -1 452 2 0.6
34 -1 453 2 0.6
58 -1 454 2 0.6
70 -1 455 2 0.6
61 -1 456 2 0.6
51 -1 457 2 0.6
46 22.38372526348982 458 2 0.6
47 -1 459 2 0.6
59 -1 460 2 0.6
71 -1 461 2 0.6
58 25.45941910583993 462 2 0.6
55 -1 463 2 0.6
51 -1 464 2 0.6
71 -1 465 2 0.6
58 -1 466 2 0.6
63 -1 467 2 0.6
56 -1 468 2 0.6
55 23.642884478705373 469 2 0.6
60 -1 470 2 0.6
75 -1 471 2 0.6
68 -1 472 2 0.6
57 -1 473 2 0.6
75 31.11407569959233 474 2 0.6
63 25.925844992227404 475 2 0.6
55 -1 476 2 0.6
71 -1 477 2 0.6
47 -1 478 2 0.6
66 -1 479 2 0.6
38 -1 480 2 0.6
47 -1 481 2 0.6
76 -1 482 2 0.6
47 21.80652560501018 483 2 0.6
62 -1 484 2 0.6
64 -1 485 2 0.6
77 -1 486 2 0.6
47 -1 487 2 0.6
47 -1 488 2 0.6
79 32.01133963592477 489 2 0.6
55 -1 490 2 0.6
87 33.69912298931793 491 2 0.6
57 -1 492 2 0.6
62 -1 493 2 0.6
79 -1 494 2 0.6
51 -1 495 2 0.6
49 -1 496 2 0.6
63 -1 497 2 0.6
64 -1 498 2 0.6
47 -1 499 2 0.6
48 -1 500 2 0.6
54 -1 501 2 0.6
45 -1 502 2 0.6
57 -1 503 2 0.6
51 -1 504 2 0.6
41 -1 505 2 0.6
64 -1 506 2 0.6
71 30.400620561155677 507 2 0.6
66 -1 508 2 0.6
51 -1 509 2 0.6
32 -1 510 2 0.6
47 -1 511 2 0.6
47 -1 512 2 0.6
59 -1 513 2 0.6
38 -1 514 2 0.6
50 -1 515 2 0.6
60 -1 516 2 0.6
74 -1 517 2 0.6
43 -1 518 2 0.6
61 -1 519 2 0.6
61 -1 520 2 0.6
51 -1 521 2 0.6
88 -1 522 2 0.6
51 -1 523 2 0.6
79 -1 524 2 0.6
64 -1 525 2 0.6
72 -1 526 2 0.6
36 -1 527 2 0.6
45 -1 528 2 0.6
73 -1 529 2 0.6
60 -1 530 2 0.6
74 -1 531 2 0.6
55 -1 532 2 0.6
51 -1 533 2 0.6
50 23.726430142434527 534 2 0.6
57 25.39358045433862 535 2 0.6
51 -1 536 2 0.6
48 -1 537 2 0.6
52 -1 538 2 0.6
35 -1 539 2 0.6
50 -1 540 2 0.6
56 -1 541 2 0.6
48 -1 542 2 0.6
68 28.985103939437185 543 2 0.6
33 -1 544 2 0.6
60 -1 545 2 0.6
63 23.902738851362706 546 2 0.6
60 -1 547 2 0.6
54 25.827980090473584 548 2 0.6
56 -1 549 2 0.6
42 -1 550 2 0.6
54 -1 551 2 0.6
66 -1 552 2 0.6
46 -1 553 2 0.6
65 -1 554 2 0.6
53 -1 555 2 0.6
48 -1 556 2 0.6
69 -1 557 2 0.6
42 -1 558 2 0.6
51 22.90003911234219 559 2 0.6
59 -1 560 2 0.6
67 -1 561 2 0.6
77 32.035327103989445 562 2 0.6
52 -1 563 2 0.6
61 -1 564 2 0.6
70 -1 565 2 0.6
65 25.93852215516433 566 2 0.6
73 -1 567 2 0.6
53 -1 568 2 0.6
76 -1 569 2 0.6
59 -1 570 2 0.6
61 26.0168003195379 571 2 0.6
61 -1 572 2 0.6
93 -1 573 2 0.6
71 -1 574 2 0.6
51 -1 575 2 0.6
69 -1 576 2 0.6
39 -1 577 2 0.6
68 -1 578 2 0.6
55 -1 579 2 0.6
55 -1 580 2 0.6
67 -1 581 2 0.6
84 -1 582 2 0.6
77 -1 583 2 0.6
104 -1 584 2 0.6
64 -1 585 2 0.6
66 -1 586 2 0.6
60 -1 587 2 0.6
72 -1 588 2 0.6
49 -1 589 2 0.6
67 -1 590 2 0.6
72 -1 591 2 0.6
71 -1 592 2 0.6
54 -1 593 2 0.6
74 -1 594 2 0.6
82 -1 595 2 0.6
59 -1 596 2 0.6
61 -1 597 2 0.6
60 -1 598 2 0.6
98 -1 599 2 0.6
47 -1 600 2 0.6
87 -1 601 2 0.6
51 -1 602 2 0.6
52 -1 603 2 0.6
57 -1 604 2 0.6
64 25.91883312352909 605 2 0.6
58 25.57966342088754 606 2 0.6
68 -1 607 2 0.6
105 -1 608 2 0.6
94 -1 609 2 0.6
66 -1 610 2 0.6
49 -1 611 2 0.6
87 -1 612 2 0.6
51 -1 613 2 0.6
56 -1 614 2 0.6
69 -1 615 2 0.6
54 -1 616 2 0.6
90 -1 617 2 0.6
78 -1 618 2 0.6
64 -1 619 2 0.6
66 -1 620 2 0.6
66 31.259160563087633 621 2 0.6
74 30.600923725347045 622 2 0.6
62 -1 623 2 0.6
83 -1 624 2 0.6
80 -1 625 2 0.6
81 -1 626 2 0.6
69 -1 627 2 0.6
73 -1 628 2 0.6
79 -1 629 2 0.6
63 -1 630 2 0.6
96 -1 631 2 0.6
61 -1 632 2 0.6
90 -1 633 2 0.6
64 -1 634 2 0.6
74 -1 635 2 0.6
98 -1 636 2 0.6
