Diameter Average-Path-Length nodes initial rewiring
15 6.130308617234469 0 1 0
14 6.882773547094188 0 1 0.001
15 7.057739478957916 0 1 0.002
12 5.594068136272545 0 1 0.003
13 -1 0 1 0.004
13 -1 0 1 0.005
15 -1 0 1 0.006
13 -1 0 1 0.007
12 -1 0 1 0.008
13 -1 0 1 0.009000000000000001
13 -1 0 1 0.01
12 -1 0 1 0.011
16 -1 0 1 0.012
12 -1 0 1 0.013000000000000001
16 -1 0 1 0.014
14 -1 0 1 0.015
12 -1 0 1 0.016
16 -1 0 1 0.017
12 -1 0 1 0.018000000000000002
12 -1 0 1 0.019
12 -1 0 1 0.02
13 -1 0 1 0.021
11 -1 0 1 0.022
10 -1 0 1 0.023
12 -1 0 1 0.024
11 -1 0 1 0.025
14 -1 0 1 0.026000000000000002
16 -1 0 1 0.027
14 -1 0 1 0.028
12 -1 0 1 0.029
16 -1 0 1 0.03
14 -1 0 1 0.031
13 -1 0 1 0.032
14 -1 0 1 0.033
10 -1 0 1 0.034
11 -1 0 1 0.035
12 -1 0 1 0.036000000000000004
11 -1 0 1 0.037
12 -1 0 1 0.038
12 -1 0 1 0.039
13 -1 0 1 0.04
12 -1 0 1 0.041
12 -1 0 1 0.042
11 -1 0 1 0.043000000000000003
13 -1 0 1 0.044
17 -1 0 1 0.045
14 -1 0 1 0.046
14 -1 0 1 0.047
13 -1 0 1 0.048
10 -1 0 1 0.049
11 -1 0 1 0.05
13 -1 0 1 0.051000000000000004
12 -1 0 1 0.052000000000000005
11 -1 0 1 0.053
13 -1 0 1 0.054
12 -1 0 1 0.055
12 -1 0 1 0.056
14 -1 0 1 0.057
13 -1 0 1 0.058
11 -1 0 1 0.059000000000000004
11 -1 0 1 0.06
12 -1 0 1 0.061
11 -1 0 1 0.062
14 -1 0 1 0.063
14 -1 0 1 0.064
16 -1 0 1 0.065
11 -1 0 1 0.066
13 -1 0 1 0.067
13 -1 0 1 0.068
15 -1 0 1 0.069
13 -1 0 1 0.07
11 -1 0 1 0.07100000000000001
12 -1 0 1 0.07200000000000001
13 -1 0 1 0.073
15 -1 0 1 0.074
13 -1 0 1 0.075
12 -1 0 1 0.076
12 -1 0 1 0.077
11 -1 0 1 0.078
14 -1 0 1 0.079
13 -1 0 1 0.08
14 -1 0 1 0.081
12 -1 0 1 0.082
12 -1 0 1 0.083
11 -1 0 1 0.084
12 -1 0 1 0.085
12 -1 0 1 0.08600000000000001
12 -1 0 1 0.08700000000000001
11 -1 0 1 0.088
11 -1 0 1 0.089
13 -1 0 1 0.09
12 -1 0 1 0.091
12 -1 0 1 0.092
14 -1 0 1 0.093
11 -1 0 1 0.094
11 -1 0 1 0.095
11 -1 0 1 0.096
14 -1 0 1 0.097
13 -1 0 1 0.098
13 -1 0 1 0.099
13 -1 0 1 0.1
13 -1 0 1 0.101
12 -1 0 1 0.10200000000000001
10 -1 0 1 0.10300000000000001
13 -1 0 1 0.10400000000000001
12 -1 0 1 0.105
17 -1 0 1 0.106
11 -1 0 1 0.107
14 -1 0 1 0.108
12 -1 0 1 0.109
13 -1 0 1 0.11
11 -1 0 1 0.111
12 -1 0 1 0.112
11 -1 0 1 0.113
12 -1 0 1 0.114
12 -1 0 1 0.115
11 -1 0 1 0.116
12 -1 0 1 0.117
13 -1 0 1 0.11800000000000001
14 -1 0 1 0.11900000000000001
13 -1 0 1 0.12
13 -1 0 1 0.121
13 -1 0 1 0.122
11 -1 0 1 0.123
14 -1 0 1 0.124
11 -1 0 1 0.125
14 -1 0 1 0.126
14 -1 0 1 0.127
11 -1 0 1 0.128
16 -1 0 1 0.129
12 -1 0 1 0.13
13 -1 0 1 0.131
11 -1 0 1 0.132
15 -1 0 1 0.133
12 -1 0 1 0.134
14 -1 0 1 0.135
12 -1 0 1 0.136
11 -1 0 1 0.137
11 -1 0 1 0.138
11 -1 0 1 0.139
15 -1 0 1 0.14
11 -1 0 1 0.14100000000000001
12 -1 0 1 0.14200000000000002
12 -1 0 1 0.14300000000000002
12 -1 0 1 0.14400000000000002
12 -1 0 1 0.145
12 -1 0 1 0.146
11 -1 0 1 0.147
11 -1 0 1 0.148
10 -1 0 1 0.149
11 -1 0 1 0.15
10 -1 0 1 0.151
11 -1 0 1 0.152
11 -1 0 1 0.153
12 -1 0 1 0.154
12 -1 0 1 0.155
12 -1 0 1 0.156
11 -1 0 1 0.157
11 -1 0 1 0.158
13 -1 0 1 0.159
12 -1 0 1 0.16
14 -1 0 1 0.161
12 -1 0 1 0.162
12 -1 0 1 0.163
15 -1 0 1 0.164
12 -1 0 1 0.165
12 -1 0 1 0.166
11 -1 0 1 0.167
12 -1 0 1 0.168
10 -1 0 1 0.169
12 -1 0 1 0.17
10 -1 0 1 0.171
