Diameter Average-Path-Length nodes initial rewiring
0 -1 700 1 0.6
82 29.01886777028408 700 2 0.6
60 -1 700 3 0.6
8 5.171722869405273 700 4 0.6
8 5.186073983241365 700 5 0.6
6 3.975814428775802 700 6 0.6
6 3.9693603106478643 700 7 0.6
5 3.452638463110566 700 8 0.6
5 3.465624361332516 700 9 0.6
4 3.1471244635193134 700 10 0.6
4 3.1516615573267934 700 11 0.6
4 2.932123441651339 700 12 0.6
4 2.935385244226446 700 13 0.6
4 2.7869241773962803 700 14 0.6
4 2.7877539341917026 700 15 0.6
4 2.6959002656856734 700 16 0.6
4 2.6929204986715716 700 17 0.6
4 2.620265685673411 700 18 0.6
4 2.620854281626814 700 19 0.6
3 2.552462701818925 700 20 0.6
3 2.5497567954220313 700 21 0.6
3 2.4884406294706722 700 22 0.6
3 2.4888493766605353 700 23 0.6
3 2.4269691395871655 700 24 0.6
3 2.4260167586347845 700 25 0.6
3 2.366065808297568 700 26 0.6
3 2.365755160433272 700 27 0.6
3 2.3074105865522174 700 28 0.6
3 2.3120376047414672 700 29 0.6
3 2.2558103413039037 700 30 0.6
3 2.2581156754547314 700 31 0.6
3 2.209033312895974 700 32 0.6
3 2.2094584099734313 700 33 0.6
3 2.1669691395871653 700 34 0.6
3 2.1658369098712447 700 35 0.6
3 2.127279787451461 700 36 0.6
3 2.1255957490292254 700 37 0.6
3 2.089401185366851 700 38 0.6
3 2.0903740036787246 700 39 0.6
3 2.0613856529736356 700 40 0.6
3 2.062787655834866 700 41 0.6
3 2.0339301042305333 700 42 0.6
3 2.034122215409769 700 43 0.6
3 2.012188841201717 700 44 0.6
3 2.01229920294298 700 45 0.6
3 1.9933333333333334 700 46 0.6
3 1.9929777232781525 700 47 0.6
3 1.9781442877580218 700 48 0.6
3 1.9784222358471286 700 49 0.6
3 1.9653300633558144 700 50 0.6
3 1.9646842427958309 700 51 0.6
3 1.9536562436133251 700 52 0.6
3 1.9531739219292867 700 53 0.6
3 1.9436909871244634 700 54 0.6
3 1.9429429797670141 700 55 0.6
3 1.9359411404046598 700 56 0.6
3 1.9357122419783364 700 57 0.6
3 1.9289638258736972 700 58 0.6
3 1.9288739014919272 700 59 0.6
3 1.9228530553852443 700 60 0.6
3 1.9228203556100552 700 61 0.6
3 1.9180380134886572 700 62 0.6
3 1.9176129164111997 700 63 0.6
3 1.912838749233599 700 64 0.6
3 1.91271612507664 700 65 0.6
3 1.908898426323319 700 66 0.6
3 1.908931126098508 700 67 0.6
2 1.9050766400980994 700 68 0.6
3 1.904815041896587 700 69 0.6
3 1.9014469650521153 700 70 0.6
2 1.9013693030860412 700 71 0.6
2 1.8982137747802983 700 72 0.6
3 1.8981769875332106 700 73 0.6
2 1.894853872879624 700 74 0.6
3 1.8948334355201308 700 75 0.6
3 1.8919027181688126 700 76 0.6
3 1.891853668506029 700 77 0.6
2 1.8887962395258533 700 78 0.6
2 1.888820764357245 700 79 0.6
2 1.8857469854894748 700 80 0.6
3 1.885800122624157 700 81 0.6
3 1.8828939301042305 700 82 0.6
2 1.882942979767014 700 83 0.6
2 1.879979562640507 700 84 0.6
2 1.8799141630901288 700 85 0.6
2 1.8770488452891887 700 86 0.6
2 1.8770733701205804 700 87 0.6
2 1.8741957899039443 700 88 0.6
2 1.8741590026568566 700 89 0.6
2 1.8712814224402208 700 90 0.6
2 1.8713059472716125 700 91 0.6
2 1.8684161046392807 700 92 0.6
2 1.8684038422235847 700 93 0.6
2 1.865554874310239 700 94 0.6
2 1.8655303494788473 700 95 0.6
2 1.8626650316779072 700 96 0.6
2 1.8626650316779072 700 97 0.6
2 1.859799713876967 700 98 0.6
2 1.8598078888207643 700 99 0.6
2 1.8569425710198242 700 100 0.6
2 1.8569425710198242 700 101 0.6
2 1.854077253218884 700 102 0.6
2 1.8540813406907828 700 103 0.6
2 1.8512160228898427 700 104 0.6
2 1.8512160228898427 700 105 0.6
2 1.848354792560801 700 106 0.6
2 1.848354792560801 700 107 0.6
2 1.8454935622317596 700 108 0.6
2 1.8454935622317596 700 109 0.6
2 1.8426364193746168 700 110 0.6
2 1.8426323319027182 700 111 0.6
2 1.8397711015736766 700 112 0.6
2 1.8397711015736766 700 113 0.6
2 1.8369098712446352 700 114 0.6
2 1.8369098712446352 700 115 0.6
2 1.8340486409155936 700 116 0.6
2 1.8340486409155936 700 117 0.6
2 1.8311874105865522 700 118 0.6
2 1.8311874105865522 700 119 0.6
2 1.8283261802575108 700 120 0.6
2 1.8283261802575108 700 121 0.6
2 1.8254649499284692 700 122 0.6
2 1.8254649499284692 700 123 0.6
2 1.8226037195994278 700 124 0.6
2 1.8226037195994278 700 125 0.6
2 1.8197424892703862 700 126 0.6
2 1.8197424892703862 700 127 0.6
2 1.8168812589413448 700 128 0.6
2 1.8168812589413448 700 129 0.6
2 1.8140200286123034 700 130 0.6
2 1.8140200286123034 700 131 0.6
2 1.8111587982832618 700 132 0.6
2 1.8111587982832618 700 133 0.6
2 1.8082975679542204 700 134 0.6
2 1.8082975679542204 700 135 0.6
2 1.8054363376251787 700 136 0.6
2 1.8054363376251787 700 137 0.6
2 1.8025751072961373 700 138 0.6
2 1.8025751072961373 700 139 0.6
2 1.799713876967096 700 140 0.6
2 1.799713876967096 700 141 0.6
2 1.7968526466380543 700 142 0.6
2 1.7968526466380543 700 143 0.6
2 1.793991416309013 700 144 0.6
2 1.793991416309013 700 145 0.6
2 1.7911301859799713 700 146 0.6
2 1.7911301859799713 700 147 0.6
2 1.78826895565093 700 148 0.6
2 1.78826895565093 700 149 0.6
2 1.7854077253218885 700 150 0.6
2 1.7854077253218885 700 151 0.6
2 1.782546494992847 700 152 0.6
2 1.782546494992847 700 153 0.6
2 1.7796852646638055 700 154 0.6
2 1.7796852646638055 700 155 0.6
2 1.7768240343347639 700 156 0.6
2 1.7768240343347639 700 157 0.6
2 1.7739628040057225 700 158 0.6
2 1.7739628040057225 700 159 0.6
2 1.7711015736766809 700 160 0.6
2 1.7711015736766809 700 161 0.6
2 1.7682403433476395 700 162 0.6
2 1.7682403433476395 700 163 0.6
2 1.765379113018598 700 164 0.6
2 1.765379113018598 700 165 0.6
2 1.7625178826895564 700 166 0.6
2 1.7625178826895564 700 167 0.6
2 1.759656652360515 700 168 0.6
2 1.759656652360515 700 169 0.6
2 1.7567954220314734 700 170 0.6
2 1.7567954220314734 700 171 0.6
2 1.753934191702432 700 172 0.6
2 1.753934191702432 700 173 0.6
2 1.7510729613733906 700 174 0.6
2 1.7510729613733906 700 175 0.6
2 1.748211731044349 700 176 0.6
2 1.748211731044349 700 177 0.6
2 1.7453505007153076 700 178 0.6
2 1.7453505007153076 700 179 0.6
