Diameter Average-Path-Length probability nodes
0 -0.05 0.47 2
1 -0.05 0.47 3
3 1.6666666666666667 0.47 4
3 -0.05 0.47 5
2 1.4666666666666666 0.47 6
4 1.8095238095238095 0.47 7
3 1.8571428571428572 0.47 8
3 1.75 0.47 9
3 1.8666666666666667 0.47 10
3 -0.05 0.47 11
2 1.5606060606060606 0.47 12
3 1.6923076923076923 0.47 13
2 1.4395604395604396 0.47 14
3 1.5238095238095237 0.47 15
3 1.575 0.47 16
3 1.5294117647058822 0.47 17
3 1.607843137254902 0.47 18
3 1.5555555555555556 0.47 19
3 1.6 0.47 20
2 1.5142857142857142 0.47 21
3 1.5627705627705628 0.47 22
2 1.4980237154150198 0.47 23
2 1.5181159420289856 0.47 24
3 1.5233333333333334 0.47 25
2 1.5723076923076924 0.47 26
2 1.5099715099715099 0.47 27
3 1.5846560846560847 0.47 28
2 1.5369458128078817 0.47 29
2 1.5448275862068965 0.47 30
2 1.5397849462365591 0.47 31
2 1.5201612903225807 0.47 32
2 1.5397727272727273 0.47 33
2 1.5329768270944741 0.47 34
2 1.5361344537815127 0.47 35
2 1.5253968253968253 0.47 36
2 1.5015015015015014 0.47 37
2 1.5206258890469417 0.47 38
2 1.5654520917678811 0.47 39
2 1.5256410256410255 0.47 40
2 1.5402439024390244 0.47 41
2 1.5644599303135889 0.47 42
2 1.5227021040974529 0.47 43
2 1.5359408033826638 0.47 44
2 1.5585858585858585 0.47 45
2 1.5294685990338164 0.47 46
2 1.5161887141535615 0.47 47
2 1.5469858156028369 0.47 48
2 1.5289115646258504 0.47 49
2 1.5085714285714287 0.47 50
2 1.5513725490196077 0.47 51
2 1.5158371040723981 0.47 52
2 1.5021770682148041 0.47 53
2 1.517120894479385 0.47 54
2 1.5158249158249157 0.47 55
2 1.5454545454545454 0.47 56
2 1.5200501253132832 0.47 57
2 1.5347852389594676 0.47 58
2 1.548217416715371 0.47 59
2 1.544632768361582 0.47 60
2 1.5333333333333334 0.47 61
2 1.5468006345848757 0.47 62
2 1.5309779825908858 0.47 63
2 1.5133928571428572 0.47 64
