NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones
300 0 0 0 0.3 0.3 0 1
291 9 0 5 0.3 0.3 0 1
284 16 0 10 0.3 0.3 0 1
279 21 0 15 0.3 0.3 0 1
274 26 0 20 0.3 0.3 0 1
271 29 0 25 0.3 0.3 0 1
260 40 0 30 0.3 0.3 0 1
245 55 0 35 0.3 0.3 0 1
255 45 0 40 0.3 0.3 0 1
247 53 0 45 0.3 0.3 0 1
242 58 0 50 0.3 0.3 0 1
237 63 0 55 0.3 0.3 0 1
233 67 0 60 0.3 0.3 0 1
213 87 0 65 0.3 0.3 0 1
228 72 0 70 0.3 0.3 0 1
213 87 0 75 0.3 0.3 0 1
214 86 0 80 0.3 0.3 0 1
199 101 0 85 0.3 0.3 0 1
205 95 0 90 0.3 0.3 0 1
186 114 0 95 0.3 0.3 0 1
179 121 0 100 0.3 0.3 0 1
203 97 0 105 0.3 0.3 0 1
193 107 0 110 0.3 0.3 0 1
174 126 0 115 0.3 0.3 0 1
171 129 0 120 0.3 0.3 0 1
180 120 0 125 0.3 0.3 0 1
175 125 0 130 0.3 0.3 0 1
166 134 0 135 0.3 0.3 0 1
162 138 0 140 0.3 0.3 0 1
162 138 0 145 0.3 0.3 0 1
300 0 0 0 0.3 0.3 0 6
261 39 0 5 0.3 0.3 0 6
253 47 0 10 0.3 0.3 0 6
264 36 0 15 0.3 0.3 0 6
238 62 0 20 0.3 0.3 0 6
242 58 0 25 0.3 0.3 0 6
215 85 0 30 0.3 0.3 0 6
217 83 0 35 0.3 0.3 0 6
225 75 0 40 0.3 0.3 0 6
217 83 0 45 0.3 0.3 0 6
215 85 0 50 0.3 0.3 0 6
179 121 0 55 0.3 0.3 0 6
201 99 0 60 0.3 0.3 0 6
201 99 0 65 0.3 0.3 0 6
204 96 0 70 0.3 0.3 0 6
196 104 0 75 0.3 0.3 0 6
208 92 0 80 0.3 0.3 0 6
210 90 0 85 0.3 0.3 0 6
168 132 0 90 0.3 0.3 0 6
183 117 0 95 0.3 0.3 0 6
190 110 0 100 0.3 0.3 0 6
194 106 0 105 0.3 0.3 0 6
162 138 0 110 0.3 0.3 0 6
191 109 0 115 0.3 0.3 0 6
194 106 0 120 0.3 0.3 0 6
170 130 0 125 0.3 0.3 0 6
167 133 0 130 0.3 0.3 0 6
192 108 0 135 0.3 0.3 0 6
176 124 0 140 0.3 0.3 0 6
172 128 0 145 0.3 0.3 0 6
300 0 0 0 0.3 0.3 0 11
266 34 0 5 0.3 0.3 0 11
209 91 0 10 0.3 0.3 0 11
258 42 0 15 0.3 0.3 0 11
203 97 0 20 0.3 0.3 0 11
