NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones Model
300 0 0 1 0.3 0.3 0 10 ER
292 7 1 1 0.3 0.3 0.05 10 ER
300 0 0 1 0.3 0.3 0.1 10 ER
299 1 0 1 0.3 0.3 0.15000000000000002 10 ER
298 0 2 1 0.3 0.3 0.2 10 ER
298 0 2 1 0.3 0.3 0.25 10 ER
300 0 0 1 0.3 0.3 0.30000000000000004 10 ER
298 0 2 1 0.3 0.3 0.35000000000000003 10 ER
269 13 18 1 0.3 0.3 0.4 10 ER
292 6 2 1 0.3 0.3 0.45 10 ER
295 0 5 1 0.3 0.3 0.5 10 ER
282 6 12 1 0.3 0.3 0.55 10 ER
299 0 1 1 0.3 0.3 0.6000000000000001 10 ER
282 6 12 1 0.3 0.3 0.65 10 ER
265 13 22 1 0.3 0.3 0.7000000000000001 10 ER
291 4 5 1 0.3 0.3 0.75 10 ER
298 0 2 1 0.3 0.3 0.8 10 ER
299 0 1 1 0.3 0.3 0.8500000000000001 10 ER
299 0 1 1 0.3 0.3 0.9 10 ER
273 11 16 1 0.3 0.3 0.9500000000000001 10 ER
300 0 0 1 0.3 0.3 0 10 BA
300 0 0 1 0.3 0.3 0.05 10 BA
300 0 0 1 0.3 0.3 0.1 10 BA
300 0 0 1 0.3 0.3 0.15000000000000002 10 BA
296 1 3 1 0.3 0.3 0.2 10 BA
300 0 0 1 0.3 0.3 0.25 10 BA
296 4 0 1 0.3 0.3 0.30000000000000004 10 BA
297 0 3 1 0.3 0.3 0.35000000000000003 10 BA
298 1 1 1 0.3 0.3 0.4 10 BA
298 0 2 1 0.3 0.3 0.45 10 BA
294 1 5 1 0.3 0.3 0.5 10 BA
299 0 1 1 0.3 0.3 0.55 10 BA
299 0 1 1 0.3 0.3 0.6000000000000001 10 BA
285 2 13 1 0.3 0.3 0.65 10 BA
245 24 31 1 0.3 0.3 0.7000000000000001 10 BA
299 0 1 1 0.3 0.3 0.75 10 BA
298 0 2 1 0.3 0.3 0.8 10 BA
300 0 0 1 0.3 0.3 0.8500000000000001 10 BA
298 0 2 1 0.3 0.3 0.9 10 BA
299 0 1 1 0.3 0.3 0.9500000000000001 10 BA
300 0 0 1 0.3 0.3 0 10 WS
300 0 0 1 0.3 0.3 0.05 10 WS
298 0 2 1 0.3 0.3 0.1 10 WS
298 2 0 1 0.3 0.3 0.15000000000000002 10 WS
300 0 0 1 0.3 0.3 0.2 10 WS
296 1 3 1 0.3 0.3 0.25 10 WS
300 0 0 1 0.3 0.3 0.30000000000000004 10 WS
299 0 1 1 0.3 0.3 0.35000000000000003 10 WS
298 0 2 1 0.3 0.3 0.4 10 WS
299 1 0 1 0.3 0.3 0.45 10 WS
296 0 4 1 0.3 0.3 0.5 10 WS
294 1 5 1 0.3 0.3 0.55 10 WS
299 0 1 1 0.3 0.3 0.6000000000000001 10 WS
295 0 5 1 0.3 0.3 0.65 10 WS
299 0 1 1 0.3 0.3 0.7000000000000001 10 WS
299 0 1 1 0.3 0.3 0.75 10 WS
297 0 3 1 0.3 0.3 0.8 10 WS
297 0 3 1 0.3 0.3 0.8500000000000001 10 WS
299 0 1 1 0.3 0.3 0.9 10 WS
297 0 3 1 0.3 0.3 0.9500000000000001 10 WS
