NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones Model
113 187 0 1 0.3 0 0 10 ER
230 70 0 1 0.3 0.05 0 10 ER
298 2 0 1 0.3 0.1 0 10 ER
184 116 0 1 0.3 0.15000000000000002 0 10 ER
213 87 0 1 0.3 0.2 0 10 ER
292 8 0 1 0.3 0.25 0 10 ER
280 20 0 1 0.3 0.30000000000000004 0 10 ER
300 0 0 1 0.3 0.35000000000000003 0 10 ER
300 0 0 1 0.3 0.4 0 10 ER
300 0 0 1 0.3 0.45 0 10 ER
300 0 0 1 0.3 0.5 0 10 ER
300 0 0 1 0.3 0.55 0 10 ER
300 0 0 1 0.3 0.6000000000000001 0 10 ER
300 0 0 1 0.3 0.65 0 10 ER
300 0 0 1 0.3 0.7000000000000001 0 10 ER
300 0 0 1 0.3 0.75 0 10 ER
300 0 0 1 0.3 0.8 0 10 ER
300 0 0 1 0.3 0.8500000000000001 0 10 ER
300 0 0 1 0.3 0.9 0 10 ER
300 0 0 1 0.3 0.9500000000000001 0 10 ER
290 10 0 1 0.3 0 0 10 BA
284 16 0 1 0.3 0.05 0 10 BA
203 97 0 1 0.3 0.1 0 10 BA
286 14 0 1 0.3 0.15000000000000002 0 10 BA
300 0 0 1 0.3 0.2 0 10 BA
300 0 0 1 0.3 0.25 0 10 BA
300 0 0 1 0.3 0.30000000000000004 0 10 BA
300 0 0 1 0.3 0.35000000000000003 0 10 BA
300 0 0 1 0.3 0.4 0 10 BA
300 0 0 1 0.3 0.45 0 10 BA
300 0 0 1 0.3 0.5 0 10 BA
300 0 0 1 0.3 0.55 0 10 BA
300 0 0 1 0.3 0.6000000000000001 0 10 BA
300 0 0 1 0.3 0.65 0 10 BA
300 0 0 1 0.3 0.7000000000000001 0 10 BA
300 0 0 1 0.3 0.75 0 10 BA
300 0 0 1 0.3 0.8 0 10 BA
300 0 0 1 0.3 0.8500000000000001 0 10 BA
300 0 0 1 0.3 0.9 0 10 BA
300 0 0 1 0.3 0.9500000000000001 0 10 BA
293 7 0 1 0.3 0 0 10 WS
300 0 0 1 0.3 0.05 0 10 WS
300 0 0 1 0.3 0.1 0 10 WS
293 7 0 1 0.3 0.15000000000000002 0 10 WS
297 3 0 1 0.3 0.2 0 10 WS
296 4 0 1 0.3 0.25 0 10 WS
297 3 0 1 0.3 0.30000000000000004 0 10 WS
298 2 0 1 0.3 0.35000000000000003 0 10 WS
300 0 0 1 0.3 0.4 0 10 WS
300 0 0 1 0.3 0.45 0 10 WS
300 0 0 1 0.3 0.5 0 10 WS
300 0 0 1 0.3 0.55 0 10 WS
300 0 0 1 0.3 0.6000000000000001 0 10 WS
300 0 0 1 0.3 0.65 0 10 WS
300 0 0 1 0.3 0.7000000000000001 0 10 WS
300 0 0 1 0.3 0.75 0 10 WS
300 0 0 1 0.3 0.8 0 10 WS
300 0 0 1 0.3 0.8500000000000001 0 10 WS
300 0 0 1 0.3 0.9 0 10 WS
300 0 0 1 0.3 0.9500000000000001 0 10 WS
