NoInfectados Infectados Inmunes Nodos Pinfeccion Precuperacion Pinmunidad Iteraciones Model
300 0 0 1 0 0.3 0 10 ER
300 0 0 1 0.05 0.3 0 10 ER
300 0 0 1 0.1 0.3 0 10 ER
300 0 0 1 0.15000000000000002 0.3 0 10 ER
300 0 0 1 0.2 0.3 0 10 ER
265 35 0 1 0.25 0.3 0 10 ER
293 7 0 1 0.30000000000000004 0.3 0 10 ER
297 3 0 1 0.35000000000000003 0.3 0 10 ER
281 19 0 1 0.4 0.3 0 10 ER
284 16 0 1 0.45 0.3 0 10 ER
257 43 0 1 0.5 0.3 0 10 ER
214 86 0 1 0.55 0.3 0 10 ER
157 143 0 1 0.6000000000000001 0.3 0 10 ER
201 99 0 1 0.65 0.3 0 10 ER
152 148 0 1 0.7000000000000001 0.3 0 10 ER
162 138 0 1 0.75 0.3 0 10 ER
122 178 0 1 0.8 0.3 0 10 ER
300 0 0 1 0.8500000000000001 0.3 0 10 ER
109 191 0 1 0.9 0.3 0 10 ER
98 202 0 1 0.9500000000000001 0.3 0 10 ER
300 0 0 1 0 0.3 0 10 BA
300 0 0 1 0.05 0.3 0 10 BA
300 0 0 1 0.1 0.3 0 10 BA
297 3 0 1 0.15000000000000002 0.3 0 10 BA
300 0 0 1 0.2 0.3 0 10 BA
300 0 0 1 0.25 0.3 0 10 BA
273 27 0 1 0.30000000000000004 0.3 0 10 BA
300 0 0 1 0.35000000000000003 0.3 0 10 BA
300 0 0 1 0.4 0.3 0 10 BA
268 32 0 1 0.45 0.3 0 10 BA
300 0 0 1 0.5 0.3 0 10 BA
194 106 0 1 0.55 0.3 0 10 BA
300 0 0 1 0.6000000000000001 0.3 0 10 BA
278 22 0 1 0.65 0.3 0 10 BA
234 66 0 1 0.7000000000000001 0.3 0 10 BA
245 55 0 1 0.75 0.3 0 10 BA
164 136 0 1 0.8 0.3 0 10 BA
193 107 0 1 0.8500000000000001 0.3 0 10 BA
152 148 0 1 0.9 0.3 0 10 BA
135 165 0 1 0.9500000000000001 0.3 0 10 BA
300 0 0 1 0 0.3 0 10 WS
299 1 0 1 0.05 0.3 0 10 WS
300 0 0 1 0.1 0.3 0 10 WS
300 0 0 1 0.15000000000000002 0.3 0 10 WS
300 0 0 1 0.2 0.3 0 10 WS
300 0 0 1 0.25 0.3 0 10 WS
297 3 0 1 0.30000000000000004 0.3 0 10 WS
299 1 0 1 0.35000000000000003 0.3 0 10 WS
300 0 0 1 0.4 0.3 0 10 WS
298 2 0 1 0.45 0.3 0 10 WS
296 4 0 1 0.5 0.3 0 10 WS
298 2 0 1 0.55 0.3 0 10 WS
294 6 0 1 0.6000000000000001 0.3 0 10 WS
298 2 0 1 0.65 0.3 0 10 WS
296 4 0 1 0.7000000000000001 0.3 0 10 WS
294 6 0 1 0.75 0.3 0 10 WS
294 6 0 1 0.8 0.3 0 10 WS
293 7 0 1 0.8500000000000001 0.3 0 10 WS
288 12 0 1 0.9 0.3 0 10 WS
290 10 0 1 0.9500000000000001 0.3 0 10 WS
